item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
P1318,证明者,,proved by,,,person who proved something
P1557,表现概念,,manifestation of,给定概念的物理体现,,inherent and characteristic embodiment of a given concept
P408,软件引擎,,software engine,开发此项目时使用的软件引擎,,software engine employed by the subject item
P840,敘事發生地,баяндау орны,narrative location,此作品所述内容发生的地方,,the narrative of the work is set in this location
P3279,,,statistical leader,,,"leader of a sports tournament in one of statistical qualities (points, assists, rebounds etc.). Don't use for overall winner. Use a qualifier to link to the item about the quality."
P5304,模式产地（生物）,,type locality (biology),,,"geographical place of capture, collection or observation of the name-bearing type"
P3716,社會階層,,social classification,傳統或國家法律認可的社會分組,,social class as recognized in traditional or state law
P2360,受眾,,intended public,這項作品，產品，對象或事件是為那個人或一群人，動物，植物等設計的，或者是為這個人或一組人設計的,,"this work, product, object or event is intended for, or has been designed to that person or group of people, animals, plants, etc"
P1199,遺傳模式,,mode of inheritance,特定遺傳特徵或疾病代間遺傳的方式,,manner in which a particular genetic trait or disorder is passed from one generation to the next
P5059,版本修改自,,modified version of,作品或其版本，作為改編的基礎，從而衍生出作品的特定版本,,indicates the work or one of its versions which served as a basis for the adaptation or arrangement resulting in the given version of the work
P1909,副作用,,side effect,,,"effect of a medication or procedure, that occurs next to the desired effect"
P12686,,,category for births in this time period,,,category item for people who born in this time period
P3022,持旗手,,flag bearer,,,person who carries the national flag of their country at an opening or closing ceremony
P3501,,,Christian liturgical rite,,,Christian liturgical rite associated with this item
P206,相接水体,,located in or next to body of water,主体相邻或所处的湖泊、河流或海域,,body of water on or next to which a place is located
P744,,,asteroid family,,,population of asteroids that share similar proper orbital elements
P241,军事部门,,military branch,军事单位、奖项、职位、个人等所属的军种或部队，例如英国皇家海军,,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy"
P9883,创办目的,,created for,,,"a work, event, etc. for which the subject work was created (e.g., a presidential inauguration that a poem was written for; a competition that a play was created for; a film that a screenplay was written for)"
P199,业务部门,,business division,本组织的组织部门（不是独立的法人实体）,,organizational divisions of this organization (which are not independent legal entities)
P7084,相关分类,,related category,,,Wikimedia category is related to this item
P108,雇主,,employer,主体（或曾）为其工作的个人或组织,,person or organization for which the subject works or worked
P98,編輯者,,editor,编辑工作的编辑，如书或定期刊物 (報紙或學術期刊),,"person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript."
P3730,上一級,,next higher rank,排名較高的等級或級別，如體育聯盟，軍銜。 如果有多種可能，列出每一個並符合“使用的標準”（P1013），請避免使用排名和日期限定符。 對於體育聯盟/分類群，請使用特定屬性。,,"higher rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead."
P126,维护者,,maintained by,负责维护的人或组织,,person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order
P828,起因,,has cause,根本原因，导致某种结果的因素,,"underlying cause, thing that ultimately resulted in this effect"
P2974,栖息地,,habitat,,,"the natural environment in which an organism lives, or the physical environment that surrounds a species population"
P3610,收费区,,fare zone,,,fare zone that the station is in
P8989,項目景觀的分類,,category for the view of the item,用於項目（物品、場所）景觀的分類,,"category for the view of this item (object, place)"
P1445,處於該虛構世界之作品,,fictional universe described in,连结虚构世界至使用该世界观的作品：<世界>P1445<作品>,,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>"
P2851,接受的付款方式,,payment types accepted,,,types of payment accepted by a venue
P137,運營者,,operator,負責運營的個人、機構或組織等,,"person, profession, or organization that operates the equipment, facility, or service"
P3025,開放日,,open days,,,days in the week subject item is open within the opening season
P736,封面艺术家,,cover art by,为书籍、唱片集、单曲等创作封面艺术作品的个人或团队的姓名,,"name of person or team creating cover artwork for book, record album, single record etc."
P17,国家,мемлекет,country,此项目位于的主权国家（不可用于人类）,осы нәрсе (элемент) тиесілі мемлекет,sovereign state that this item is in (not to be used for human beings)
P3174,艺术总监,,art director,,,"person credited as the art director/artistic director of this work; manages the process of making the visuals, which is done by concept artists, graphic designers, set designers, costume designers, lighting designers; See also P8938 for organizations"
P1594,法官,,judge,主审该案的法官、地方法官或同等人士,,"judge, magistrate or equivalent, presiding at a trial"
P2358,,,Roman praenomen,,,"standard part of the name of a Roman, link to items for specific Roman praenomen only"
P1427,行程起点,,start point,旅程、航班等的起始地点,,"starting place of this journey, flight, voyage, trek, migration etc."
P2389,主管機構,,organization directed by the office or position,該職位或人物所管之機構組織,,organization which is directed by this office
P2579,研究学科,,studied in,研究该主题的学科或领域,,subject is studied by this science or domain
P5444,,,model year,,,"year a specific model of a product (such as a car) was released, likely different from the actual year of production"
P9969,,,critical catalogue,,,"a comprehensive, annotated listing of all the known artworks by an artist either in a particular medium or all media."
P110,插画家,,illustrator,给书做插图的人,,person drawing the pictures or taking the photographs in a book
P2408,時代背景,,set in period,历史或未来时期的作品的設定,,"historical, contemporary, or future period, year, century or day the work or genre is set in or event featured in the story of the work"
P193,主要承建商,,main building contractor,負責建造這種結構或建築物的主要組織,,the main organization (or person) responsible for construction of this structure or building
P6440,维护方法,,maintenance method,,,"method or steps that maintain, clean up, or repair this item and lengthens its lifespan"
P2438,敘事者,,narrator,解说员、画外音旁白,,"narrator, character or person that tells the story"
P1034,主要食物來源,,main food source,,,"species, genus or family that an organism depends on for nutrition"
P7479,,,key col,,,highest col connecting to an even higher point
P7763,創作者著作權狀態,,copyright status as a creator,創作者全部作品版權保護期是否届滿，或者處於公有領域,,states if the body of work published during the lifetime of this creator is still copyrighted or in the public domain
P7376,被穿著,,worn by,,,person who wears or wore a garment or object
P1151,话题主要维基媒体主题,,topic's main Wikimedia portal,關於此主題的維基媒體入口導覽頁,,Wikimedia portal associated with this topic
P2541,業務區,,operating area,組織或行業在其中運營，服務或負責的地理區域或管轄範圍,,"geographic area or jurisdiction an organisation or industry operates in, serves, or has responsibility for"
P1080,所属虚构世界,,from narrative universe,主体所属的虚构世界,,subject's fictional entity is in the object narrative. See also P1441 (present in work) and P1445 (fictional universe described in)
P853,CERO評級,,CERO rating,日本的電玩評級系統，可用值請見討論頁。,,Japanese video game rating system
P741,,,playing hand,,,"hand used to play a racket sport, cricket, fencing, or curling"
P1465,死亡地分类,,category for people who died here,在此地死亡者的页面分类,,category item for people who died in this location
P4770,水合物,,hydrated form of,,,given compound is an anhydrous form of this compound
P1753,分类相关列表,,list related to category,与某个维基媒体分类相关的维基媒体列表项,,Wikimedia list equivalent to a Wikimedia category
P2852,緊急救助電話,,emergency phone number,聯絡緊急服務的電話號碼,,telephone number to contact emergency services
P466,占用者,,occupant,占用某物产（建筑物或用地）的人或组织,,person or organization occupying property
P6872,投稿于,,has written for,,,publication an author has contributed to
P97,贵族头衔,,noble title,人物所拥有的头衔,,titles held by the person
P765,,,surface played on,,,the surface on which a sporting event is played
P131,所在行政领土实体,,located in the administrative territorial entity,此项所地处的，代表领土一部分的上级行政实体。指定所处非行政性地点，或有关活动的项时，请使用P276（位置）,,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.
P511,勋衔前缀,,honorific prefix,,,"word or expression used before a name, in addressing or referring to a person"
P767,创作作品或主题贡献者,,contributor to the creative work or subject,对作品创作有贡献的人或组织,,person or organization that contributed to a subject: co-creator of a creative work or subject
P5537,韓語漢字音,,Hangul pronunciation,某漢字在韓語諺文中的讀音表記方式,,modern Korean pronunciation(s) in Hangul for this Hanja character
P1589,最低点,,lowest point,,,"point with lowest elevation in the country, region, city or area"
P720,,,asteroid spectral type,,,"spectral classifications of asteroids based on  spectral shape, color, and albedo"
P1546,座右铭,,motto,,,description of the motto of the subject
P945,效忠对象,,allegiance,一个人或群体所效忠的国家或权力,,country (or other power) that the person or group serves
P3876,教育機構校友專用分類,,category for alumni of educational institution,包含该机构校友的分类,,category containing people who studied at this institution
P881,,,type of variable star,,,type of star
P1830,擁有,,owner of,該主体擁有的實體,,entities owned by the subject
P924,疗法,,possible treatment,,,health treatment used to resolve or ameliorate a medical condition
P2546,,,sidekick of,,,close companion of a fictional character
P4661,所建水庫,,reservoir created,一水壩上游所建之水庫,,reservoir created upstream of a dam by this dam
P122,政体,,basic form of government,主体的统治形式,,subject's government
P1956,,,takeoff and landing capability,,,type of takeoff and landing the aircraft is designed to operate
P81,线路,,connecting line,铁路线主体直接连接到,,railway line(s) subject is directly connected to
P523,初现地质年代,,temporal range start,,,the start of a process or appearance of a life form or geological unit relative to the geologic time scale
P841,圣人纪念日,,feast day,,,saint's principal feast day
P641,体育运动,,sport,人物所参与的体育运动,,sport that the subject participates or participated in or is associated with
P4195,组织员工专用分类,,category for employees of the organization,,,Wikimedia category for people who work or worked at this organization
P805,陈述主体项目,,statement is subject of,（修饰）项目，描述在此陈述中确定的关系,,(qualifying) item that describes the relation identified in this statement
P184,博士生导师,,doctoral advisor,指导该主体博士论文的人,,person who supervised the doctorate or PhD thesis of the subject
P3306,電影和音像藝術學會分級,,ICAA rating,西班牙電影內容分級系統中的分級,,rating in the Spanish motion picture content rating system
P2848,Wi-Fi访问,,Wi-Fi access,通過Wifi訪問互聯網狀況,,internet access availability through Wi-Fi
P2012,菜系,,cuisine,食物所属的菜系,,type of food served by a restaurant or restaurant chain or national food culture
P610,最高点,,highest point,区域内海拔的最高点,,"point with highest elevation in a region, or on the path of a race or route"
P825,致獻對象,,dedicated to,被獻予該項目的個人或組織,,person or organization to whom the subject was dedicated
P2978,,,wheel arrangement,,,"wheel/axle arrangement for locomotives, railcars and other rolling stock"
P814,IUCN保护区分类,,IUCN protected areas category,世界保护区委员会划分的保护区分类。,,protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.
P1408,廣播地區,,licensed to broadcast to,廣播電台或電視台獲得許可發送訊號的地區,,place that a radio/TV station is licensed/required to broadcast to
P5386,日本气象厅烈度等级,,JMA Seismic Intensity Scale,,,maximum intensity scale of this earthquake given by JMA Seismic Intensity Scale
P4934,计算方法,,calculated from,,,value of the subject item cannot be measured directly or can be calculated from the following measurands or attributes
P3075,國教,,official religion,,,official religion in this administrative entity
P6758,支持的运动队,,supported sports team,,,sports team for which a person or a group is a supporter
P1789,首席运营官,,chief operating officer,,,the chief operating officer of an organization
P7643,涵蓋時期,,covered period,,,"historical period covered, for instance by a source"
P2098,副職,,substitute/deputy/replacement of office/officeholder,某职位的副职,,function that serves as deputy/replacement of this function/office (scope/conditions vary depending on office)
P3780,為其中之有效成份,,active ingredient in,是生物活性成分的一部分並形成生物活性成分。,,"is part of and forms biologically active component. Inverse of ""has active ingredient"""
P750,經銷商,дистрибьютор,distributed by,負責作品經銷一方,,distributor of a creative work; distributor for a record label; news agency; film distributor
P3335,相关风险因子,,associated hazard,,,"hazards implicit in the subject item: that a sign warns of; that one may encounter in this place, on this thoroughfare; that are inherent properties of (or threats to) the subject; etc."
P1158,降落地點,,location of landing,飛行物降落處,,location where the craft landed
P1376,是何者的首府,,capital of,此項作為（按目標項來說）國家、省、州、部門、縣、郡或其他行政區劃政府所在地的實體,,"country, state, department, canton or other administrative division of which the municipality is the governmental seat"
P6,政府首脑,,head of government,村镇、城市、直辖区、国家或其他政府机构的行政首脑,,"head of the executive power of this town, city, municipality, state, country, or other governmental body"
P708,教區,,diocese,,,administrative division of the church to which the element belongs; use P5607 for other types of ecclesiastical territorial entities
P5023,此地點的活動方針,,activity policy in this place,,,"policy for activities in this place, for example no photos, photos allowed, no flash, lighting fires, flying drones, etc."
P3148,廢除,,repeals,本文件或法案廢除了其他文件或法案,,this document or act repeals that other document or act
P364,影視作品原始語言,фильмнің немесе телешоудың түпнұсқа тілі,original language of film or TV show,電影或表演作品最初創作時的語言。對於書面作品則已棄用；請改用P407（作品或名稱語言）,,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead."
P826,音調,,tonality,,,key of a musical composition
P2238,官方標記,,official symbol,行政實體的官方象徵,,official symbol of an organisation
P459,确定方法,,determination method,如何确定一个值，或声明它的标准,,"how a value is determined, or the standard by which it is declared"
P12363,,,clerked for,,,this person has held a clerkship with the judge
P5196,输出方法,,output device,,,output device used to interact with a software or video game console
P780,症状,,symptoms and signs,醫學情形下的可能症狀,,possible symptoms or signs of a medical condition
P3490,,,muscle origin,,,the anatomic entity to which the beginning of a muscle is anchored
P101,工作领域,жұмыс саласы,field of work,某个人或组织的专业；职业请见P106,"ұйым, не адам үшін: элементпен байланысты қызметтің негізгі саласы (мысалы, физикалық құбылыс үшін физика, адам үшін астрономия); кәсіппен (физик) шатастыруға болмайды (P106)",specialization of a person or organization; see P106 for the occupation
P1340,瞳色,,eye color,对一个人的眼睛虹膜的颜色,,color of the irises of a person's eyes
P277,编程语言,,programmed in,開發軟件的編程語言,,the programming language(s) in which the software is developed
P3137,母峰,,parent peak,自本山峰下降至主鞍部（key col）但不降至更低處，可爬升到的最高峰,,"parent is the peak whose territory this peak resides in, based on the contour of the lowest col"
P1403,原始組合,,original combination,用於動物：在這組物種的分類上學名首次發表時所使用（雙名法或三名法）的組合,,for animals: the combination (binomen or trinomen) where the species-group name used in this taxon name was first published
P770,遭毀壞原因,,cause of destruction,,,item which caused the destruction of the subject item
P6439,,,has lyrics,,,work whose text is used as the lyrics of this work
P4132,语言类型学,,linguistic typology,,,classification of languages according to their linguistic trait (as opposed to historical families like romance languages)
P7782,,,category for ship name,,,Commons category for a name of a ship
P19,出生地,туған жері,place of birth,人、動物或虛擬角色的已知最詳細誕生地點（例如城市而不是国家，或医院而不是城市）,"нысанның нақты туған ауруханасы, қаласы, мемлекеті","most specific known birth location of a person, animal or fictional character"
P3033,软件包管理系统,,package management system,包管理系统用于发布软件,,package management system used to publish the software
P410,军衔,,military rank,一個人取得的軍銜（通常應該有一個“開始日期”限定符），或者與一個職位相關的軍銜,,"military rank achieved by a person (should usually have a ""start time"" qualifier), or military rank associated with a position"
P1951,投資者,,investor,為了獲得投資回報而對該項目進行投資的個人或組織,,individual or organization which invests money in the item for the purpose of obtaining financial return on their investment
P6875,,,motif represents,,,"object or concept from which this motif is derived, or which it represents"
P4599,,,monomer of,,,polymer composed of this monomer subunits
P3919,,,contributed to creative work,,,"person is cited as contributing to some creative or published work or series (qualify with ""subject has role"", P2868)"
P6112,,,category for members of a team,,,Wikimedia category for players playing for a sports team
P85,颂歌,,anthem,主体的官方象征性歌曲,,subject's official anthem
P2388,機構主管職位,,office held by head of the organization,該機構項目的首長、負責人職位,,position of the head of this item
P541,競逐之職位,,office contested,该次选举中候选人所竞争的职位,,title of office which election will determine the next holder of
P4100,黨團,,parliamentary group,由議員在議會內組成的黨組織,,parliamentary group to which a member of a parliament belongs
P9086,文化部影視及流行音樂產業局電影分級,,BAMID film rating,臺灣電影內容分級制度,,rating in the Taiwanese movie content rating system
P411,冊封狀態,,canonization status,每個受試者宗教組織獲得聖徒的過程中的階段,,Formal stage in the process of attaining sainthood per the subject's religious organization
P8031,加害人,,perpetrator,实施违法犯罪的人,,"person or organization who carried out a harmful, illegal, or immoral act"
P2365,,,Roman cognomen,,,"standard part of the name of a Roman, link to items about specific Roman cognomen only."
P7959,历史郡,,historic county,大不列顛及愛爾蘭的傳統、地理分區,,"traditional, geographical division of Great Britain and Ireland"
P3450,体育赛季所属赛事,,sports season of league or competition,体育赛季所属的赛事（赛季所属俱乐部为P5138）,,"property that shows the competition of which the item is a season. Use P5138 for ""season of club or team""."
P397,母天体,,parent astronomical body,物质及生命所依赖主要天文物体,,major astronomical body the item belongs to
P1582,产自,,natural product of taxon,该自然产物的原料（动物、植物、真菌、藻类等）,,"links a natural product with its source (animal, plant, fungal, algal, etc.)"
P306,作業系統,операциялық жүйе,operating system,操作系统，软件运行或操作系统安装在硬件上。,,operating system (OS) on which a software works or the OS installed on hardware
P1703,,,is pollinated by,,,how pollen from the male anthers is transferred to the female stigma of a flower
P1433,刊载处,,published in,刊载该作品的期刊、书籍等,,"larger work that a given work was published in, like a book, journal or music album"
P5353,學區,,school district,定居點或其他項目所屬的學區,,school district to which a settlement or other item belongs
P375,发射载具,,space launch vehicle,,,type of rocket or other vehicle for launching subject payload into outer space
P301,该分类的主话题,,category's main topic,维基媒体分类所对应的主要话题,,primary topic of the subject Wikimedia category
P3275,分镜师,,storyboard artist,个人认为这项工作的故事板艺术家,,person credited as the storyboard artist of this work
P7719,推出,,generalization of,主體命題尤其可以推出客體命題，即客體是主體的推論或特例,,"the subject statement in particular gives this object statement, or the truth of this object statement is implied by the truth of the subject statement"
P7153,重要地点,,significant place,和主體相關的重要地點,,significant or notable places associated with the subject
P208,行政机构,,executive body,该地的行政机关,,branch of government for the daily administration of the territorial entity
P2293,遗传关联,,genetic association,,,"general link between a disease and the causal genetic entity, if the detailed mechanism is unknown/unavailable"
P8402,開放資料網站,,open data portal,能找到更多資料的開放資料入口網站,,the item for the open data portal belonging to this entity
P7888,合併至,,merged into,主題解散並合併至先前存在的物件中,,"the subject was dissolved and merged into the object, that existed previously"
P4952,,,safety classification and labelling,,,classification data for the identification and labelling of chemical risks associated with a product
P1049,受其崇拜,,worshipped by,崇拜某個神靈的宗教或團體/文明,,religion or group/civilization that worships a given deity
P1454,法律形式,,legal form,组织的法律形式,,legal form of an entity
P9901,,,issuing agent of work,,,"organization, agency, or other entity responsible for issuing a serial or other continuing resource, such as the official publication of the entity; distinct from commercial publisher of the resource"
P1620,原告人,,plaintiff,訴訟當事人,,party who initiates a lawsuit
P102,黨籍,,member of political party,某人所參加（或曾參加）/附屬（或曾附屬）的政黨,,the political party of which a person is or has been a member or otherwise affiliated
P7561,項目內部專用共享資源分類,,category for the interior of the item,用於描述項目（物品、場所）內部景觀的媒體檔案之共享資源分類,,"Commons category for media files depicting interior views of this item (object, place)"
P3764,,,pole position,,,"person, who starts race at first row (leader in the starting grid)"
P1441,登场作品,,present in work,虚构角色或事物出场的作品,,"this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration (use P2860 for works citing other works, P361/P1433 for works being part of other works, P1343 for entities described in non-fictional accounts)"
P437,发行方式,тарату форматы,distribution format,作品发行的方法（或类型）,,method (or type) of distribution for the subject
P127,所有者,,owned by,主体的所有者,,owner of the subject
P3975,总书记,,general secretary,,,"leader of a political or international organization, sometimes below the chairperson (P488)"
P4510,描述一个项目使用实体,,describes a project that uses,此輸出中描述的項目中使用的基本組件或工具,,essential component or tool that was used in this project
P172,族群,этностық тобы,ethnic group,主体的种族（共识是要使用此字段，需要非常高质量的证据。这通常意味着1.主体自行主张、或2.学者对此广泛认可、或3.是如此虚构并描写的）,"субъектінің ӨЗІ мақұлдауы керек, не ғалымдардың консенсусымен расталуы керек (кейіпкер жағдайында этносы жұмыс мәтінімен расталуы керек)","subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)"
P930,电气化方式,,type of electrification,,,electrification system scheme and/or voltage
P3156,ACB评级,,Australian Classification,,,content rating of an audiovisual work or video game in the Australian Classification system
P495,原產地,туған елі,country of origin,出产地（作品、食物、产品等）,,"country of origin of this item (creative work, food, phrase, product, etc.)"
P1434,所處虛構世界,,takes place in fictional universe,某虛構作品中一切事物所處的世界,,"the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe"
P944,命名法规,,code of nomenclature,生物分類學名的命名法規,,the code that governs the scientific name of this taxon
P1891,签署方,,signatory,签署了正式文件的人、国家或组织（作者请改用P50）,,"person, country, or organization that has signed an official document (use P50 for author)"
P7137,致谢,,acknowledged,,,persons or institutions acknowledged on a creative work
P6241,建立者,,collection creator,,,"entity (person, organization, etc.) that caused a record or collection to be produced or gathered"
P7374,教育阶段,,educational stage,,,"educational stage of a specific school; qualifier of ""educated at"" (P69): the education stage of someone's attendance of school"
P2061,长宽比,,aspect ratio (W:H),电影、照片等图像的长和宽的比例,,"image width to height ratio of films, photographs, and other images"
P1657,美國電影協會電影評級,,MPA film rating,美國電影協會管理的美國電影分類,,US film classification administered by the Motion Picture Association
P463,成员属于,мүшесі,member of,主题所归属的组织、俱乐部或音乐组合。不要用于种族或社会团体的成员，也不要用于政治职务，例如某个议会的议员（请改用P39）,"көрсетілген ұйым, клуб, не топтың мүшесі; этностық/әлеуметтік, не партиялар/парламенттік топтар үшін басқаны көріңіз (P39)","organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)"
P4320,,,mountains classification,,,person ranked for this cycling stage or race
P1533,相关姓氏,,family name identical to this given name,姓氏與給定的名字相同。 用於給定名稱的項目,,last name that is the same as a given first name. Use on items for given names
P38,货币,,currency,项目使用的货币,,currency used by item
P10588,,,academic calendar type,,,academic calendar system used by an educational institution
P5460,,,grants,,,"confers degree, honor, award, prize, title, certificate or medal denoting achievement to a person or organization"
P5052,監事會成員,,supervisory board member,組織的監督委員會成員,,member(s) of the supervisory board for the organization
P927,解剖位置,,anatomical location,,,where in the body or cell does this feature lie or happen
P1420,同物異名,,taxon synonym,分類單元的其他拉丁名稱,,name listed as synonym of a taxon name
P9566,,,diel cycle,,,"pattern of diel activity in animals, such as ""nocturnal"" (Q101029366), ""diurnal"" (Q4284186)"
P2575,,,measures,,,physical quantity that this device measures
P737,受影响自,,influenced by,該人物/想法受到某人事時地物啟發,,"this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”"
P1876,载具,,vessel,事件涉及的船只、航天器等载具,,"vessel involved in this mission, navigation or event"
P5150,IGAC等级,,IGAC rating,,,rating of a film or theatrical production in the Portuguese classification system
P157,殺害者,өлтірген адам,killed by,杀死主体的人,кім өлтіргенін белгілеуге арналған,person who killed the subject
P2210,相对于,,relative to,,,qualifier: what a statement value is relative to
P1336,领土主张,,territory claimed by,主張其對某一地區控制的行政實體,,administrative divisions that claim control of a given area
P6978,中间姓,,Scandinavian middle family name,,,"middle name of some people from Denmark or Norway where a family name, usually the mother's, is taken on as a ""middle name"". For given names based on family names, use ""given name"" (P735). For Spanish names, use P734/P1950."
P1672,产物,,this taxon is source of,该生物分类单元的自然产物。注意这里的产物可能产自一种或多种分类单元。,,"links a taxon to natural products it produces. Note that it does not say ""this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon."
P6166,引用原文出处,,quotes work,本作品所引用原文的出处,,"other creative work which this work quotes from textually, verbally or lyrically"
P10280,该实体的荣誉公民类别,,category for honorary citizens of entity,,,"category containing the honorary citizens of a settlement (administrative unit, country). Honorary citizens may or may not be citizens of the country"
P3823,《民族語》語言狀態,,Ethnologue language status,Ethnologue.com 所使用評量語言狀態的 EGIDS 指標。,,language status identifier by Ethnologue.com using EGIDS scale
P138,名称由来,құрметіне аталған,named after,激发主体名称或同名的实体或事件（至少用一种语言）。 修饰符“适用于名称”(P5168) 可用于指示哪一个,"бұл нәрсенің осылай аталуына себепкер болған адам, оқиға немесе бір нәрсе","entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one"
P5004,反對,,in opposition to,社會行動所反對的對象,,object of a social action
P6087,教练所属体育队,,coach of sports team,,,sports club or team for which this person is or was on-field manager or coach
P1000,纪录,,record held,某实体所取得的纪录,,"notable record achieved by a person or entity, include qualifiers for dates held"
P360,列表所属项目,бұл тізімде келесі нәрселер тізілген,is a list of,列表所描述的主題,,common element between all listed items
P504,母港,,shipping port,船只作为基地的港口,,"shipping port of the vessel (if different from ""ship registry""): For civilian ships, the primary port from which the ship operates. Port of registry →P532 should be listed in ""Ship registry"". For warships, this will be the ship's assigned naval base"
P275,许可协议,,copyright license,这个版权作品释出时使用的协议,,license under which this copyrighted work is released
P9235,,,seismic classification,,,seismic risk zone which the administrative entity that receives the seismic classification is in
P1654,,,wing configuration,,,configuration of wing(s) used by an aircraft
P5607,,,located in the religious territorial entity,,,the item is located on the territory of the following religious entity. Use P708 (diocese) for dioceses
P1990,饲养品种,,species kept,分类群，最好是物种，存在于动物园、植物园、收藏馆或其他机构。不是特定的动物，不是任何地理位置的动物。,,"taxa, preferably species, present at a zoo, botanical garden, collection, or other institution. NOT specific animals, not for any geographic location"
P3602,競選,,candidacy in election,参与的选举,,election where the subject is a candidate
P4552,所属山脉,,mountain range,,,range or subrange to which the geographical item belongs
P5278,,,surname for other gender,,,"gender inflection of surname, patronymic or matronymic"
P2318,,,debut participant,,,participant for whom this is their debut appearance in a series of events
P3815,,,volcano observatory,,,institution that monitors this volcanic landform or phenomenon
P5805,OSI模型层位置,,OSI Model layer location,網路協定在OSI模型層中的位置,,location of a network protocol in one of the OSI Model layers
