query_id,query,search_term,qid,label,description
24937,仓鸮,仓鸮,Q25317,仓鸮,一种鸟类
24995,5月16日,5月16日,Q2574,5月16日,日期
25306,张学友,张学友,,,
25295,周慧敏,周慧敏,Q2673694,周慧敏,香港女演員、歌手
26092,渔家傲,渔家傲,Q17038647,渔家傲,type of cipai
26011,分钟,分钟,Q7727,分钟,時間單位
26243,孟加拉国,孟加拉国,,,
26255,牛津大学,牛津大学,Q34433,牛津大学,1096年创建的一所学校
25413,東方魅力,東方魅力,Q7600699,東方魅力,
26477,光速,光速,Q2111,光速,所有無質量粒子和相關場在真空中傳播的速度
25170,彼得·杰克逊,彼得·杰克逊,Q4465,彼得·杰克逊,新西兰电影导演
27038,內科學,內科學,Q11180,內科學,学科
26590,近視,近視,Q168403,近視,视力缺陷
27985,努尔苏丹·纳扎尔巴耶夫,努尔苏丹·纳扎尔巴耶夫,Q57394,努尔苏丹·纳扎尔巴耶夫,哈萨克斯坦首任总统 前哈萨克共产党中央第一书记
30960,剑经,剑经,Q10899177,剑经,
30968,卸骨术,卸骨术,Q10910810,卸骨术,
31145,网景导航者,网景导航者,Q235419,网景导航者,web browser released in 1994
31112,金星凌日,金星凌日,Q185203,金星凌日,太陽和地球之間的金星遮蔽一小部分太陽對地輻射的天文現象
31217,1958年,1958年,Q5253,1958年,年份
31290,爱尔兰岛,爱尔兰岛,Q22890,爱尔兰岛,欧洲西北部的一座岛屿
31518,爆肚,爆肚,Q10404947,爆肚,
31734,九份,九份,Q31093,九份,位於臺灣新北市瑞芳區的地名及觀光景點
32873,胭脂扣,胭脂扣,Q834800,胭脂扣,1987年香港電影
33507,第二次中东战争,第二次中东战争,Q49101,第二次中东战争,1956年军事冲突
33763,绵阳市,绵阳市,Q426130,绵阳市,中国四川省第二大城市，地级市
33772,新世界第一巴士,新世界第一巴士,Q3408488,新世界第一巴士,香港公共巴士營運商
35016,日本料理,日本料理,Q234138,日本料理,日本的菜餚與飲食文化
35604,伊比利亚半岛,伊比利亚半岛,Q12837,伊比利亚半岛,歐洲西南端一半島地區
35624,庞贝,庞贝,Q43332,庞贝,"ancient Roman city near modern Naples, Italy"
35912,标准排水量,标准排水量,Q491774,标准排水量,measure of the cargo-carrying volumetric capacity of a ship
37202,中央公論新社,中央公論新社,Q996095,中央公論新社,Japanese publisher
37260,伍冰枝,伍冰枝,Q236482,伍冰枝,前任加拿大總督
37398,女真,女真,,,
37424,普若佛,普若佛,Q23443,普若佛,美国城市
37423,盐湖城,盐湖城,Q23337,盐湖城,美国犹他州首府及最大城市
37766,法系,法系,,,
37775,BT,BT,,,
37888,忌廉蘑菇湯,忌廉蘑菇湯,Q179158,忌廉蘑菇湯,type of soup
37899,前656年,前656年,Q1059486,前656年,年
38379,黎锦熙,黎锦熙,Q6538894,黎锦熙,Chinese linguist
38410,积分,积分,Q80091,积分,计算操作
38858,哈尔·斯帕克斯,哈尔·斯帕克斯,Q445367,哈尔·斯帕克斯,American actor
38942,道路,道路,Q34442,道路,基础设施
40325,前483年,前483年,Q236991,前483年,年
40129,臭豆腐,臭豆腐,Q701628,臭豆腐,一種發酵豆腐
40762,國際純化學和應用化學聯合會,國際純化學和應用化學聯合會,,,
40595,柏林洪堡大學,柏林洪堡大學,Q152087,柏林洪堡大學,德國柏林公立大學
41286,继体天皇,继体天皇,,,
40946,熱狗,熱狗,Q181055,熱狗,香腸類食品
41333,猫儿历险记,猫儿历险记,Q184701,猫儿历险记,1970 American animated film
41711,2004年夏季奥运会中国皮划艇队,2004年夏季奥运会中国皮划艇队,Q10844483,2004年夏季奥运会中国皮划艇队,
42376,凌力,凌力,Q3369376,凌力,中国作家 (1942-2018)
43078,大O符号,大O符号,Q269878,大O符号,notation to describe the limiting behavior of a function
42471,城市軌道交通,城市軌道交通,,,
43409,布吉納法索,布吉納法索,Q965,布吉納法索,非洲西部國家
43415,黑劳士,黑劳士,Q462484,黑劳士,古希腊斯巴达城邦一种国有奴隶制度
44270,1-丙醇,1-丙醇,,,
44394,元惠宗,元惠宗,,,
44866,A4,A4,,,
45042,肉垂鹤,肉垂鹤,Q1141135,肉垂鹤,species of crane found in Africa
45054,道卡斯族,道卡斯族,Q369238,道卡斯族,
45693,南瓜,南瓜,,,
45926,卡米耶·畢沙羅,卡米耶·畢沙羅,Q134741,卡米耶·畢沙羅,法籍丹裔印象派畫家
45433,五大湖,五大湖,Q7347,五大湖,group of lakes in North America
46132,遊戲牌,遊戲牌,Q7757463,遊戲牌,Journal of the International Playing Card Society
46508,前295年,前295年,Q47628,前295年,年
46426,佛罗里达州,佛罗里达州,Q812,佛罗里达州,美國州份
46604,壬申,壬申,Q1062030,壬申,ninth element of the sexagenary cycle
46706,國立臺北科技大學,國立臺北科技大學,Q6978828,國立臺北科技大學,位於台灣台北的大學
46776,粉佳人,粉佳人,,,
47257,1030年代,1030年代,Q60202,1030年代,年代
47276,850年代,850年代,Q272704,850年代,年代
46780,约翰尼·凯利 (马拉松运动员),约翰尼·凯利 (马拉松运动员),,,
47335,300年代,300年代,Q223816,300年代,年代
47724,F-14雄貓式戰鬥機,F-14雄貓式戰鬥機,Q34945,F-14雄貓式戰鬥機,美国
48133,企业,企业,,,
48187,克利奥帕特拉一世,克利奥帕特拉一世,,,
48461,数,数,,,
48805,前83年,前83年,Q42348,前83年,年
50094,翁山蘇姬,翁山蘇姬,Q36740,翁山蘇姬,緬甸國務資政和全國民主聯盟領導人
50098,檔案,檔案,,,
50469,張秋生,張秋生,Q9093265,張秋生,作家
51542,契丹人,契丹人,Q218332,契丹人,古代北亞及東亞游牧民族，已經因為融入其他民族而消亡
51844,基金,基金,Q2620430,基金,集資或撥款成立的儲備金
51657,超級機器人大戰系列,超級機器人大戰系列,Q3504286,超級機器人大戰系列,日本電子遊戲系列
50975,臺灣清治時期,臺灣清治時期,Q391189,臺灣清治時期,1683－1895年大清統治下的臺灣
52140,前170年,前170年,Q46983,前170年,年
52160,前191年,前191年,Q46066,前191年,年
52446,航空工程,航空工程,Q8421,航空工程,"science and art of study, design, manufacturing, and operation of airflight-capable machines"
52950,赛斯,赛斯,Q16473728,赛斯,姓氏 (Sáez)
53417,黑格尔哲学的批判,黑格尔哲学的批判,Q11179178,黑格尔哲学的批判,费尔巴哈著作
54278,美国国会,美国国会,,,
54257,新垣里沙,新垣里沙,Q233349,新垣里沙,"Japanese singer, actress, dancer, and model"
54806,青年漫画,青年漫画,,,
55762,1960年夏季殘疾人奧林匹克運動會,1960年夏季殘疾人奧林匹克運動會,,,
56215,季羡林,季羡林,Q714228,季羡林,中国语言学家、文学翻译家
55999,红黑树,红黑树,Q506496,红黑树,一種自平衡二元搜尋樹
57265,圣菲 (新墨西哥州),圣菲 (新墨西哥州),,,
56842,江苏省立教育学院,江苏省立教育学院,Q10379316,江苏省立教育学院,
57353,中国人民解放军东部战区总医院,中国人民解放军东部战区总医院,Q6963655,中国人民解放军东部战区总医院,机构
57518,灌篮高手,灌篮高手,Q714760,灌篮高手,日本少年漫畫
57653,聖約翰科技大學,聖約翰科技大學,Q7588852,聖約翰科技大學,臺灣私立大學
57842,戴奧辛,戴奧辛,,,
58115,烏克蘭共產黨,烏克蘭共產黨,Q1122797,烏克蘭共產黨,烏克蘭共產主義政黨
58359,格林兄弟,格林兄弟,Q2793,格林兄弟,德國作家和民俗學家
58489,雷鸟属,雷鸟属,Q162029,雷鸟属,雉科的一属鸟类
58576,马萨达,马萨达,Q186312,马萨达,以色列的一处考古遗址
65055,外部数据表示法,外部数据表示法,Q1385056,外部数据表示法,standard data serialization format
64143,好太王碑,好太王碑,Q701096,好太王碑,memorial to King of Goguryeo
58800,中药学,中药学,Q24841814,中药学,
63998,教研室,教研室,Q10298738,教研室,
65203,斗南鎮,斗南鎮,Q709980,斗南鎮,雲林縣底下的一個鎮
65304,爱德华·蒙克,爱德华·蒙克,,,
65303,时,时,,,
65586,王政复古,王政复古,Q835568,王政复古,
67066,微处理器,微处理器,Q5297,微处理器,包含在集成電路芯片中的計算機處理器
67397,爱德华·卢卡斯,爱德华·卢卡斯,Q274377,爱德华·卢卡斯,French mathematician
67472,毛利元就,毛利元就,Q1156545,毛利元就,a prominent daimyō in the west Chūgoku region of Japan during the Sengoku period of the 16th century
67611,需求的价格弹性,需求的价格弹性,Q3194154,需求的价格弹性,衡量財貨的價格變化造成其需求變化多少
67803,PageRank,PageRank,Q184316,PageRank,网页排序算法
67844,獅子山 (香港),獅子山 (香港),,,
68801,紅牛,紅牛,Q51482,紅牛,功能性饮料
69544,紫笋茶,紫笋茶,,,
68879,半乳糖,半乳糖,Q66589593,半乳糖,group of compounds
69908,輪狀病毒,輪狀病毒,,,
69836,在學率,在學率,Q9698264,在學率,
70222,查理六世,查理六世,Q150665,查理六世,神聖羅馬帝國皇帝
70323,石台县,石台县,Q1375205,石台县,中国安徽省池州市下辖的一个县
70970,少林足球,少林足球,Q536299,少林足球,2001年周星馳電影
71397,挑戰者號太空梭,挑戰者號太空梭,Q54382,挑戰者號太空梭,美國穿梭機
71198,阿里山山脈,阿里山山脈,,,
71498,绿翅鸭,绿翅鸭,Q25700,绿翅鸭,鸭科鸭属鸟类
71747,俱樂部,俱樂部,Q988108,俱樂部,以共同利益或目標團結的人民協會
72120,门德尔松,门德尔松,,,
71902,湖北省博物馆,湖北省博物馆,Q4391403,湖北省博物馆,中华人民共和国国家一级博物馆、大型综合性省级历史文物陈列展览馆
72510,德意志宗教改革,德意志宗教改革,,,
74264,五角数,五角数,,,
72787,乍得,乍得,Q657,乍得,非洲中部国家
73254,中天電視,中天電視,Q699106,中天電視,臺灣電視台
74487,钦定版圣经,钦定版圣经,Q623398,钦定版圣经,英國國教會官方批准的第三部聖經
74276,土耳其历史,土耳其历史,Q190876,土耳其历史,土国的歴史
74731,伊老師與小蟾蜍大歷險,伊老師與小蟾蜍大歷險,,,
74944,八德區,八德區,Q74052,八德區,位於臺灣桃園市東北部的行政區
74953,西港區,西港區,Q709004,西港區,臺南市的行政區
75398,战争论,战争论,Q1981770,战争论,treaty on strategy by Carl von Clausewitz
74968,馬公市,馬公市,Q701428,馬公市,中華民國三級行政區劃（縣轄市）
74971,湖西鄉,湖西鄉,Q709939,湖西鄉,澎湖縣的鄉
75648,2001太空漫游,2001太空漫游,,,
77246,D区元素,D区元素,Q214503,D区元素,periodic table block; on the middle of the periodic table and includes elements from groups 3 through 12
76973,指挥官基恩,指挥官基恩,Q868531,指挥官基恩,电子游戏系列
77708,蜘蛛人,蜘蛛人,Q79037,蜘蛛人,漫威漫画中的虚构人物
77913,殷素素,殷素素,Q11125749,殷素素,character in wuxia fiction
77989,科學幻想,科學幻想,Q24925,科學幻想,虛構作品類型
76035,二林鎮,二林鎮,Q718428,二林鎮,彰化縣底下的一個鎮
77785,武松,武松,Q3055296,武松,《水滸傳》人物
78192,乔治·沃尔德,乔治·沃尔德,Q295724,乔治·沃尔德,研究者
78649,沙加尔,沙加尔,Q835793,沙加尔,法国语言学家
78726,NHK大河劇,NHK大河劇,Q1200935,NHK大河劇,Japanese term coined by NHK for year-long historical drama television series
78931,性學,性學,Q170912,性學,研究性的科學
79884,下條阿童木,下條阿童木,Q836374,下條阿童木,Japanese voice actor
80109,北京鲁迅博物馆,北京鲁迅博物馆,Q4881160,北京鲁迅博物馆,文物保护单位
80169,查拉图斯特拉如是说,查拉图斯特拉如是说,Q199774,查拉图斯特拉如是说,尼采作品
80505,阿尔布雷希特七世,阿尔布雷希特七世,Q311452,阿尔布雷希特七世,Austrian cardinal and governor of the Netherlands (1559-1621)
80916,钫,钫,Q671,钫,原子序数为87的化学元素
80203,礼泉县,礼泉县,Q1201612,礼泉县,中华人民共和国境内的一个县
82482,里昂·瓦尔拉斯,里昂·瓦尔拉斯,,,
80368,天人合一,天人合一,Q24841804,天人合一,Chinese philosophical concept
81872,社頭鄉,社頭鄉,Q715860,社頭鄉,台湾彰化县的一个乡
83013,克拉拉·蔡特金,克拉拉·蔡特金,Q75823,克拉拉·蔡特金,"Communist activist, and advocate for women's rights"
83108,钼,钼,,,
84751,北京湿地,北京湿地,Q10902348,北京湿地,
83486,苏铁,苏铁,Q161517,苏铁,苏铁科常绿树
85073,锇,锇,,,
85463,威廉·詹宁斯·布莱恩,威廉·詹宁斯·布莱恩,Q205282,威廉·詹宁斯·布莱恩,第41任美國國務卿
87287,蔓草纹,蔓草纹,,,
87125,黃金角,黃金角,Q2296486,黃金角,"division of 360° angle into two sub-angles, such that one is 1.618034 times bigger than the other (i.e. the golden ratio or ɸ)"
87543,克拉梅爾猜想,克拉梅爾猜想,Q515591,克拉梅爾猜想,conjecture
87334,劍橋公爵威廉王子,劍橋公爵威廉王子,Q36812,劍橋公爵威廉王子,英國王位第一順位繼承人
88136,新山,新山,Q231318,新山,马来西亚柔佛州首府
88454,锂电池,锂电池,Q899079,锂电池,电池种类
89001,挚 (中国君王),挚 (中国君王),,,
89642,陶庵梦忆,陶庵梦忆,Q17034744,陶庵梦忆,book by Zhang Dai
90030,全天域電影,全天域電影,Q3352078,全天域電影,
90702,雅凡娜,雅凡娜,Q1771124,雅凡娜,fictional character from J.R.R. Tolkien's legendarium
90598,大江戶線,大江戶線,Q384862,大江戶線,東京都營地下鐵的地鐵路線
90902,煤气,煤气,Q842311,煤气,fuel
92501,小魔女DoReMi,小魔女DoReMi,Q498847,小魔女DoReMi,日本電視動畫
92997,天津大学BBS,天津大学BBS,,,
91744,菊目,菊目,Q21730,菊目,植物的一目
91737,海牙国际私法会议,海牙国际私法会议,Q4130823,海牙国际私法会议,international organization
91261,M45,M45,,,
93166,唐末民變,唐末民變,Q10922839,唐末民變,
93183,嘔吐 (消歧義),嘔吐 (消歧義),,,
93726,福斯傳媒集團 (亞太),福斯傳媒集團 (亞太),,,
93901,哥伦比亚丘陵,哥伦比亚丘陵,Q619057,哥伦比亚丘陵,range of low hills inside Gusev crater on Mars
94577,擦音,擦音,Q31427,擦音,consonant produced by forcing air through a narrow channel made by placing two articulators close together
94826,吴应箕,吴应箕,Q10919483,吴应箕,
93907,乔拉山,乔拉山,Q6856335,乔拉山,"hill inside Gusev crater on Mars, named after Kalpana Chawla"
95233,中华人民共和国知识产权法,中华人民共和国知识产权法,Q4121120,中华人民共和国知识产权法,protections and rights in China
94925,誠泰太陽,誠泰太陽,,,
95255,万寿祺,万寿祺,Q10865007,万寿祺,Qing dynasty person CBDB = 65963
95593,紹武帝,紹武帝,Q1046002,紹武帝,南明皇帝
95602,最终兵器少女,最终兵器少女,Q95035,最终兵器少女,2006年電影
96408,福島大學,福島大學,Q1157046,福島大學,"Higher education institution in Fukushima Prefecture, Japan"
96640,社会民主党 (日本),社会民主党 (日本),,,
96587,枇杷,枇杷,Q41505,枇杷,蔷薇科枇杷属的一种植物
97274,倒挂金钟,倒挂金钟,Q164101,倒挂金钟,species of plant
97392,1995年國家領導人列表,1995年國家領導人列表,Q362155,1995年國家領導人列表,維基媒體列表條目
97656,李亚鹏,李亚鹏,Q717397,李亚鹏,中国男演员
97975,日本学士院,日本学士院,Q1683229,日本学士院,national academy
98104,臺北市立動物園,臺北市立動物園,,,
98217,实况足球系列,实况足球系列,,,
98143,木兰溪,木兰溪,Q11092851,木兰溪,watercourse in People's Republic of China
98905,元康 (西汉),元康 (西汉),,,
98748,京都工藝纖維大學,京都工藝纖維大學,Q1069423,京都工藝纖維大學,university
99173,对象链接与嵌入,对象链接与嵌入,,,
99286,長青隧道,長青隧道,Q5094269,長青隧道,香港3號幹線隧道之一
101094,巴纳比·拉奇,巴纳比·拉奇,Q2362527,巴纳比·拉奇,novel by Charles Dickens
100445,藏獒,藏獒,Q39322,藏獒,Chinese dog breed
102128,217国道,217国道,Q1892303,217国道,位于中国的公路
101727,霸州市,霸州市,Q812672,霸州市,中国河北省廊坊市代管的县级市
102654,4G,4G,,,
102672,英皇道,英皇道,Q6411080,英皇道,香港街道
103771,S/2004 S 6,S/2004 S 6,Q18345,S/2004 S 6,provisional designation of a dusty object seen orbiting Saturn
103974,江西铜业股份,江西铜业股份,Q1518015,江西铜业股份,company
104553,王八蛋,王八蛋,,,
104358,韋家輝,韋家輝,Q616410,韋家輝,Hong Kong filmmaker
104425,世子,世子,Q104093542,世子,东亚亲王继承人的正式封号
105541,虎眼万年青,虎眼万年青,Q2152366,虎眼万年青,species of plant
106288,甘霖 (主教),甘霖 (主教),,,
106740,三角形郵票,三角形郵票,Q9382777,三角形郵票,
107305,吳昌碩,吳昌碩,Q715400,吳昌碩,清末民初篆刻家
106808,电负性,电负性,Q78974,电负性,tendency of an atom to attract a shared pair of electrons
108508,定音鼓,定音鼓,Q189737,定音鼓,打击乐器
108749,天體力學,天體力學,Q184274,天體力學,branch of astronomy
109271,羊城通,羊城通,Q837638,羊城通,一种以广州市为主的储值非接触式智能卡
109805,高阳 (作家),高阳 (作家),,,
111040,英式早餐,英式早餐,Q73989,英式早餐,fried food
111692,紅 (消歧義),紅 (消歧義),,,
111597,三大战役,三大战役,Q10865710,三大战役,
111777,中国大陆服务电话号码列表,中国大陆服务电话号码列表,,,
111971,1978年亚洲运动会,1978年亚洲运动会,Q729484,1978年亚洲运动会,第八屆亞運會
113157,杀手阿一,杀手阿一,Q3791674,杀手阿一,manga series by Hideo Yamamoto
112588,清真寺,清真寺,Q32815,清真寺,穆斯林宗教場所
113450,70年代,70年代,Q262207,70年代,年代
112135,老彼得·勃鲁盖尔,老彼得·勃鲁盖尔,,,
112771,伪随机性,伪随机性,,,
113476,復仇三部曲,復仇三部曲,Q483605,復仇三部曲,Trilogy of films directed by Park Chan-wook
113932,塔爾-泰勒曼奈特,塔爾-泰勒曼奈特,Q2630875,塔爾-泰勒曼奈特,fictional character from J.R.R. Tolkien's legendarium
114349,斯拉夫人,斯拉夫人,Q40477,斯拉夫人,族群
115152,二千石,二千石,Q11371405,二千石,
115468,湖北省立文科大学,湖北省立文科大学,Q15955979,湖北省立文科大学,
114778,檀香目,檀香目,Q21851,檀香目,双子叶植物纲中的一个目，属于开花植物
116445,南开大学商学院,南开大学商学院,Q9522266,南开大学商学院,
117600,底片,底片,,,
117192,魁北克市,魁北克市,Q2145,魁北克市,加拿大魁北克省城市
118649,生物分子列表,生物分子列表,Q3236706,生物分子列表,维基媒体列表条目
120206,比施勒－纳皮耶拉尔斯基反应,比施勒－纳皮耶拉尔斯基反应,Q866098,比施勒－纳皮耶拉尔斯基反应,intramolecular electrophilic aromatic substitution reaction
120097,黎曼几何,黎曼几何,Q761383,黎曼几何,branch of differential geometry dealing with (generalized) Riemannian manifolds
121089,高其佩,高其佩,Q698454,高其佩,清代画家
121323,公权力,公权力,Q10892925,公权力,
122398,剪嘴鸥属,剪嘴鸥属,Q212941,剪嘴鸥属,鸥科的一属鸟类
123323,臺語白話文,臺語白話文,,,
124015,价格剪刀差,价格剪刀差,,,
128996,古斯塔夫·施特雷澤曼,古斯塔夫·施特雷澤曼,Q103955,古斯塔夫·施特雷澤曼,"German politician, statesman, and Nobel Peace Prize laureate (1878-1929)"
129000,皮埃尔·孟戴斯-弗朗斯,皮埃尔·孟戴斯-弗朗斯,Q314265,皮埃尔·孟戴斯-弗朗斯,French politician (1907-1982)
129424,基隆 (消歧義),基隆 (消歧義),,,
129004,保罗·雷诺,保罗·雷诺,Q161076,保罗·雷诺,French politician and lawyer (1878-1966)
131131,彌賽亞 (消歧義),彌賽亞 (消歧義),,,
130422,埃及總統列表,埃及總統列表,,,
131133,1960年夏季奥林匹克运动会,1960年夏季奥林匹克运动会,Q8415,1960年夏季奥林匹克运动会,"Games of the XVII Olympiad, in Rome, Italy"
131368,大协奏曲,大协奏曲,Q210216,大协奏曲,form of baroque music
132207,箭十字黨,箭十字黨,Q160159,箭十字黨,1935–1945 fascist political party in Hungary
132121,朝鮮憲宗,朝鮮憲宗,Q484966,朝鮮憲宗,朝鮮王朝第24代國王
132613,星際大爭霸,星際大爭霸,Q2367132,星際大爭霸,American science fiction television series of the 1970s
133830,累加器,累加器,Q420105,累加器,计数器
132630,谢绳武,谢绳武,Q8044376,谢绳武,Chinese physicist
134070,亚洲和太平洋地区世界遗产列表,亚洲和太平洋地区世界遗产列表,Q6453853,亚洲和太平洋地区世界遗产列表,Wikimedia list article
134675,硬體暫存器,硬體暫存器,Q5351510,硬體暫存器,circuit components acting like computer memory
134086,聯邦政府,聯邦政府,Q1006644,聯邦政府,"highest, central, level of government in a federation"
135037,蒙哥馬利·史考特,蒙哥馬利·史考特,Q607489,蒙哥馬利·史考特,fictional character in Star Trek
134883,蒂埃里·亨利,蒂埃里·亨利,Q45901,蒂埃里·亨利,法国足球运动员
135038,有尾目,有尾目,Q53663,有尾目,两栖动物的一目
135552,歷山二世,歷山二世,Q171112,歷山二世,羅馬天主教會第156任教宗
135209,肽类激素,肽类激素,Q416997,肽类激素,hormone that is also a peptide
136907,雅可比恒等式,雅可比恒等式,Q1151539,雅可比恒等式,"Property of some binary operations, such as the cross product and any ring's commutator"
138357,空韻,空韻,Q15910911,空韻,
137011,哈勃–勒梅特定律,哈勃–勒梅特定律,Q179916,哈勃–勒梅特定律,observation in physical cosmology
138309,赫伯特·马尔库塞,赫伯特·马尔库塞,Q60030,赫伯特·马尔库塞,德裔美国哲学家、社会学家（1898－1979）
139416,内地,内地,,,
139757,Cygwin/X,Cygwin/X,Q2746180,Cygwin/X,適用於Windows的X伺服器與同名的Unix子系統
139832,歐洲足協盃,歐洲足協盃,,,
139880,金边瑞香,金边瑞香,Q6677356,金边瑞香,form of plant
140144,长白松,长白松,Q15889125,长白松,松科松属植物
140349,國家職業棒球員協會,國家職業棒球員協會,Q1966945,國家職業棒球員協會,美國職棒歷史上的一個組織
141570,调漆,调漆,Q10531259,调漆,Type of color mixing
142545,黑猩猩屬,黑猩猩屬,Q80174,黑猩猩屬,猩猩科的一属哺乳动物
140528,野田順子,野田順子,Q2713581,野田順子,Japanese voice actress
