id,type,label-zh,label-zh-hans,label-zh-cn,label-zh-tw,label-yue,label-kk,label-en,description-zh,description-zh-hans,description-zh-cn,description-zh-tw,description-yue,description-en,alias-zh,alias-en,zhwiki,zh_yuewiki,kkwiki,enwiki,alias-kk,description-kk
Q140,item,獅,狮,狮,獅,獅子,Арыстан,lion,产自非洲和亚洲的大型猫科动物,大型猫科动物,猫科豹属哺乳动物,大型貓科動物,,species of big cat,"狮子, 剛果獅","Panthera leo, African lion, the lion, Asiatic lion",https://zh.wikipedia.org/wiki/狮,https://zh-yue.wikipedia.org/wiki/獅子,https://kk.wikipedia.org/wiki/Арыстан,https://en.wikipedia.org/wiki/Lion,,
Q144,item,犬,犬,犬,犬,狗,Ит,dog,由欧亚大陆的灰狼驯化而来的常见家畜，被广泛作为宠物或役用动物饲养,由狼驯化而来的常见家畜，被广泛作为宠物或役用动物饲养,动物,,,domestic animal,"狗, 家犬, 家狗, 狗狗, 狗子","domestic dog, Canis lupus familiaris, Canis familiaris, dogs, 🐶, 🐕",https://zh.wikipedia.org/wiki/犬,https://zh-yue.wikipedia.org/wiki/狗,https://kk.wikipedia.org/wiki/Ит,https://en.wikipedia.org/wiki/Dog,,
Q147,item,幼猫,,,幼貓,,,kitten,形容幼年的貓咪.,,,,,young cat,"小貓, 奶貓",kitty,https://zh.wikipedia.org/wiki/貓的幼年,,,https://en.wikipedia.org/wiki/Kitten,,
Q148,item,中华人民共和国,中华人民共和国,中华人民共和国,中華人民共和國,中華人民共和國,Қытай Халық Республикасы,People's Republic of China,东亚国家,东亚国家,东亚国家,東亞國家,東亞國家,country in East Asia,"中国, 中國, 中華人民共和國, 🇨🇳, 中, 红色中国, 共产中国, 中国大陆, 中国内地, 大陆, 内地, 陆, PRC, CHN, cn, 新中国, 北京當局","Red China, PR China, Communist China, Mainland China, China PR, CHN, RPC, PRC, CN, 🇨🇳, cn, China",https://zh.wikipedia.org/wiki/中华人民共和国,https://zh-yue.wikipedia.org/wiki/中華人民共和國,https://kk.wikipedia.org/wiki/Қытай,https://en.wikipedia.org/wiki/China,,
Q155,item,巴西,巴西,巴西,巴西,巴西,Бразилия,Brazil,南美洲國家,南美洲国家,南美洲国家,南美洲國家,南美洲一國,country in South America,,"Federative Republic of Brazil, BR, BRA, br, 🇧🇷, Brasil",https://zh.wikipedia.org/wiki/巴西,https://zh-yue.wikipedia.org/wiki/巴西,https://kk.wikipedia.org/wiki/Бразилия,https://en.wikipedia.org/wiki/Brazil,"Brasil, Бразилия Федеративті Республикасы, 🇧🇷",Оңтүстік Американың​ ең ірі мемлекеті
Q163,item,約克郡,约克郡,约克郡,,約郡,Йоркшир,Yorkshire,英格蘭曾存在的郡,位于英格兰东北部的郡,,,,historic county of England,,"County of York, God's Own County, Yorkshire, England",https://zh.wikipedia.org/wiki/約克郡,https://zh-yue.wikipedia.org/wiki/約郡,https://kk.wikipedia.org/wiki/Йоркшир,https://en.wikipedia.org/wiki/Yorkshire,,
Q177,item,比萨饼,比萨饼,比萨,披薩,意大利薄餅,пицца,pizza,食品,混合着不同香品、番茄及起司烘焗而成的饼,一种起源于意大利的美食，用发酵的圆面饼上面覆盖番茄酱、奶酪以及其他配料，并用烤炉烤制而成。,,,popular Italian dish with a flat dough-based base and toppings,"披萨, 比萨, 意大利薄饼","pie, pizza pie",https://zh.wikipedia.org/wiki/比萨饼,https://zh-yue.wikipedia.org/wiki/意大利薄餅,https://kk.wikipedia.org/wiki/Пицца,https://en.wikipedia.org/wiki/Pizza,,
Q178,item,意式面食,意式面食,意式麵食,,意式麪,,pasta,麵条的类型，意大利传统美食的主食,所有源自意大利的面食,,,,"Italian food made from flour, eggs and water and shaped in different forms, usually cooked and served with a sauce","意面, 意大利面, 意大利面条",,https://zh.wikipedia.org/wiki/意大利麵,https://zh-yue.wikipedia.org/wiki/意式麪,,https://en.wikipedia.org/wiki/Pasta,,
Q183,item,德國,德国,德国,德國,德國,Германия,Germany,歐洲國家,欧洲国家,欧洲国家,歐洲國家,西歐一國,country in Central Europe,"德意志, 德意志联邦, 德意志联邦共和国, 德意志聯邦, 德意志聯邦共和國, 德国","Federal Republic of Germany, Deutschland, GER, BR Deutschland, DE, BRD, Bundesrepublik Deutschland, de, GFR",https://zh.wikipedia.org/wiki/德国,https://zh-yue.wikipedia.org/wiki/德國,https://kk.wikipedia.org/wiki/Германия,https://en.wikipedia.org/wiki/Germany,Германия Федеративтік Республикасы,
Q207,item,喬治·沃克·布什,乔治·沃克·布什,乔治·沃克·布什,喬治·沃克·布什,喬治·沃克·布什,Джордж Буш,George W. Bush,第四十三任美國總統,美国政治人物,,,,President of the United States from 2001 to 2009,"乔治·W·布什, 乔治·布什, 小布什","George Walker Bush, Bush Jr., Dubya, GWB, Bush 43, President George W. Bush, George Bush, President Bush, Bush, Bush, George W.",https://zh.wikipedia.org/wiki/乔治·沃克·布什,https://zh-yue.wikipedia.org/wiki/佐治獲加布殊,https://kk.wikipedia.org/wiki/Джордж Уокер Буш,https://en.wikipedia.org/wiki/George W. Bush,,
Q210,item,直角,直角,,,直角,,right angle,,角度为90度的角,,,,90° angle (π/2 radians): an angle that bisects the angle formed by two halves of a straight line,,square angle,https://zh.wikipedia.org/wiki/直角,https://zh-yue.wikipedia.org/wiki/直角,,https://en.wikipedia.org/wiki/Right angle,,
Q233,item,馬耳他,马耳他,马耳他,馬爾他,馬耳他,Мальта,Malta,位於南歐地中海的群島國家,位于南欧的国家,,位於南歐地中海的群島國家,,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea,"馬爾他, 马耳他","Republic of Malta, 🇲🇹, MLT, MT",https://zh.wikipedia.org/wiki/马耳他,https://zh-yue.wikipedia.org/wiki/馬爾他,https://kk.wikipedia.org/wiki/Мальта,https://en.wikipedia.org/wiki/Malta,,
Q278,item,,,,,,,Talisker distillery,,,,,,"whisky distillery in Highland, Scotland, UK",,,,,,https://en.wikipedia.org/wiki/Talisker distillery,,
Q288,item,图尔,图尔,图尔,都爾,圖爾,,Tours,法国安德尔-卢瓦尔省市镇与省会,位于法国安德尔-卢瓦尔省的城市,,法蘭西中部的歷史有名的城市，是安德爾-羅亞爾省首府,,"city and commune in Indre-et-Loire, Centre-Val de Loire, France",,"Tours, Centre, Tours, France, Tours, Indre-et-Loire",https://zh.wikipedia.org/wiki/图尔,https://zh-yue.wikipedia.org/wiki/圖爾,,https://en.wikipedia.org/wiki/Tours,,
Q297,item,委拉斯開茲,委拉斯开兹,,,委拉斯蓋茲,Диего Веласкес,Diego Velázquez,西班牙画家,文艺复兴后期西班牙的画家,,,,Spanish painter (1599-1660),"狄亞哥·維拉斯奎茲, 委拉斯凯兹, 委拉斯开兹, 委拉斯贵支, 迭戈·委拉斯貴支, 迭戈·委拉斯開茲, 迭戈·委拉斯开兹, 迪亞哥·委拉斯蓋茲, 委拉斯贵支，D.","Velázquez, Diego Rodríguez de Silva y Velázquez, Diego Rodriguez de Silva y Velázquez, Diego de Silva Velàzquez, Diego De Velázquez y Silva, Diego Rodríguez de Silva y Velasquier, Diego Velasques, Diego Rodríguez de Silva y Velasquiz, Diego Velásquez, Diego Valesquez, Diego Velasquex, Diego Velázquez y Silva, Diego de Silva Velázquez, Diego de Silva Velazquez, Diego Villasco, Diego de Velázquez y Silva, Diego de Silva Velaskes, Diego Velasque, Diego de Silva y Velasquez, Diego Rodriguez de Silva y Velazquez, Diego Velázquez de Silva, Diego Velasco Spagnolo, Diego Valaquez, Diego Valasquez, Don Diego Velasquez, Diego Belazquez, Diego Velascus, Diego Rodriguez De Silva Y Velazquez, Diego Valasques, Diego Velazquez, Diego de Silva, Diego Velasquez de Silva, Diego Rodríguez de Silva y Velazquez, Diego de Silva y Velázquez, Diego Velasmo, Diego Rodriguez de Silva y Velasquez, Diego Velasco, Diego Velasquez y Silva, Diego Velarques, Diego De Silva, Diego Rodriquez de Silva y Velazquez, Diego Velasquez, Diego De Silva Velaskes, Diego de Velázquez de Silva, Diego Rodríguez de Silva y Belasquez, Diego Rodriguez de Silva y Velásquez, Diego Rodriguez Velásquez, Diego Rodríguez de Silva y Velásquez, Diego Rodríguez De Silva Y Velázquez, Velazquez, Diego Rodriguez de Silva Velazquez, Diego De Velazquez y Silva, Diego Rodriguez de Silva y Velasquier, Diego Rodriguez de Silva y Velasquiz, Diego Velazquez y Silva, Diego Velazquez de Silva, Diego de Silva y Velazquez, Diego de Velazquez de Silva, Diego Rodriguez de Silva y Belasquez, Diego Rodriguez Velasquez, Diego Velasco spagnolo, Diégo Vélasquez, Velasqez, diego velazquez de silva, d. r. de silva y velasquez, Don Diego Valasques, Velasquex, Velasquez, Velasques, Velasquer, Valaquez, Diégo-Vélasquez, Dom Diego Velasquès, Valesquez, c. diego velasquez de silva, Vélaquez, Valasques, Valasquez, Velasquéz, Flasques, Velasquez de Silva, Diego de Velazquez, Belazquez, Diego Velaschi, Velasque, Diego Velasquèz, Lavasquez, D. Velasquez, Vélasquès, D. Diego Velasquez, D. Velaquez, Diego Vellasquez, de Silva Diego Velasquez, Velascus, Don Diego Velasquez de Silva, Velasquiz, Velasquesz, Vilasquez, Velasmo, Velasquier, Velarquez, Velarques, Dom Diego de Velasques, diego di silva y velasquez, Don Diégo Velasquez, Diego Velasquez Spagnuolo, Cavalier Velasquès, Vallascio, Diego Valaschi, Diègo Rado. Velazquez, Velasco, Diego Vellasquetz, diego velasquez de silva, Don Velasquez, Don Diego Velazquez, Belasquez, d. r. velazquez, Diego de Velasco, D. Diego Velasquès, Diego Rodríguez de Silva Velázquez, Diego de Silva Velasquez",https://zh.wikipedia.org/wiki/委拉斯開茲,https://zh-yue.wikipedia.org/wiki/委拉斯蓋茲,https://kk.wikipedia.org/wiki/Диего Веласкес,https://en.wikipedia.org/wiki/Diego Velázquez,,
Q298,item,智利,智利,智利,智利,智利,Чили,Chile,南美洲國家,南美洲国家,,南美洲國家,,country in South America,智利共和国,"Republic of Chile, CL, cl, República de Chile, CHI, 🇨🇱",https://zh.wikipedia.org/wiki/智利,https://zh-yue.wikipedia.org/wiki/智利,https://kk.wikipedia.org/wiki/Чили,https://en.wikipedia.org/wiki/Chile,,
Q317,item,专政政体,独裁政体,,獨裁政體,專政,диктатура,dictatorship,政權由單一領袖統治的政治學概念,描述政权的政治学概念,,政權由單一領袖統治的政治學概念,,autocratic form of government which is ruled by a sole leader,"獨裁政體, 独裁政体",dictature,https://zh.wikipedia.org/wiki/獨裁政體,https://zh-yue.wikipedia.org/wiki/專政,https://kk.wikipedia.org/wiki/Диктатура,https://en.wikipedia.org/wiki/Dictatorship,,А4
Q328,item,英語維基百科,英语维基百科,英语维基百科,英語維基百科,英文維基百科,Ағылшынша Уикипедия,English Wikipedia,維基百科英文版,维基百科协作计划的英文版本,,維基百科的英文版,,English-language edition of Wikipedia,"英语维基百科, 英文维基百科, 英语维基, 英文维基","ENWP, English-language Wikipedia, Wikipedia in English, Wikipedia (en), enwiki, en.wikipedia.org, en.wp, en.Wikipedia, enwp, en wiki, English wikipedia, enwikipedia, Wikipedia (English)",https://zh.wikipedia.org/wiki/英语维基百科,https://zh-yue.wikipedia.org/wiki/英文維基百科,https://kk.wikipedia.org/wiki/Ағылшынша Уикипедия,https://en.wikipedia.org/wiki/English Wikipedia,Ағылшын тіліндегі Уикипедия,Уикипедия ағылшын тілінде
Q362,item,第二次世界大战,第二次世界大战,第二次世界大战,第二次世界大戰,第二次世界大戰,Екінші дүниежүзілік соғыс,World War II,發生於1939年到1945年之間的全球性戰爭,发生于1939年到1945年之间的世界性战争,发生于1939年到1945年之间的世界性战争,發生於1939年到1945年之間的全球性戰爭,1939年到1945年嘅全球性戰爭,1939–1945 global conflict,"二战, 二次大战, 二次世界大战, 第二次世界大戰, 二次世界大戰, 二次大戰, 二戰","WW2, WWII, WW 2, WW II, World War Two, 2nd World War, World War 2, the Second World War, Second World War, II World War, World War 2, 1939-1945",https://zh.wikipedia.org/wiki/第二次世界大战,https://zh-yue.wikipedia.org/wiki/第二次世界大戰,https://kk.wikipedia.org/wiki/Екінші дүниежүзілік соғыс,https://en.wikipedia.org/wiki/World War II,,
Q368,item,奥古斯托·皮诺切特,奥古斯托·皮诺切特,奥古斯托·皮诺切特,,皮諾切特,,Augusto Pinochet,智利前总统、独裁者,智利军事独裁者,智利军事独裁者,,,dictator of Chile from 1973 to 1990,"奥古斯托·皮诺切特·乌加特, 皮诺切特","Augusto Pinochet Ugarte, Augusto José Ramón Pinochet Ugarte",https://zh.wikipedia.org/wiki/奥古斯托·皮诺切特,https://zh-yue.wikipedia.org/wiki/皮諾切特,,https://en.wikipedia.org/wiki/Augusto Pinochet,,
Q398,item,巴林,巴林,巴林,巴林,巴林,Бахрейн,Bahrain,西亞島國,西亚国家,西亚国家,西亞島國,,country in the Persian Gulf,,"bh, Kingdom of Bahrain, 🇧🇭, BAH, Bahrein Islands",https://zh.wikipedia.org/wiki/巴林,https://zh-yue.wikipedia.org/wiki/巴林,https://kk.wikipedia.org/wiki/Бахрейн,https://en.wikipedia.org/wiki/Bahrain,,
Q411,item,天體生物學,,,,天體生物學,Экзобиология,astrobiology,,研究在宇宙中生命起源、生物演化、分布和未来发展的交叉学科,,,,study of the formation of life on Earth and elsewhere,異種學,"exobiology, xenobiology, Astrobiology",https://zh.wikipedia.org/wiki/天體生物學,https://zh-yue.wikipedia.org/wiki/天體生物學,https://kk.wikipedia.org/wiki/Экзобиология,https://en.wikipedia.org/wiki/Astrobiology,Астробиология,
Q412,item,先驅者鍍金鋁板,,,,,,Pioneer plaque,信息载体,安装在先驱者10号及先驱者11号上，载有由人类发出的讯息的镀金铝板,,,,plaque attached to the Pioneer 10 and Pioneer 11 spacecraft in case extraterrestrial life finds them,,,https://zh.wikipedia.org/wiki/先驅者鍍金鋁板,,,https://en.wikipedia.org/wiki/Pioneer plaque,,
Q431,item,動物學,动物学,动物学,動物學,動物學,Зоология,zoology,生物學分支领域,生物学分支领域，研究动物的形态、生理构造、生活习性、发展及进化史、遗传及行为特征、分布、以及与环境间相互关系,,,,scientific study of animals,,"animal biology, animal science, zoological science",https://zh.wikipedia.org/wiki/动物学,https://zh-yue.wikipedia.org/wiki/動物學,https://kk.wikipedia.org/wiki/Зоология,https://en.wikipedia.org/wiki/Zoology,,
Q433,item,库鲁夫行政區,库鲁夫行政區,,,,,Gmina Kurów,,,,,,Polish rural gmina in Lublin Voivodeship,,Gmina Kurow,,,,https://en.wikipedia.org/wiki/Gmina Kurów,,
Q443,item,Ich bin ein Berliner,Ich bin ein Berliner,Ich bin ein Berliner,我是柏林人,,,Ich bin ein Berliner,美國總統約翰·甘迺迪在西柏林演講中的一句名言,美国总统约翰·肯尼迪在西柏林演讲中的一句名言,,,,speech given by John F. Kennedy in West Berlin in June 1963,,"I am a Berliner, Remarks of President John F. Kennedy at the Rudolph Wilde Platz",https://zh.wikipedia.org/wiki/我是柏林人,,,https://en.wikipedia.org/wiki/Ich bin ein Berliner,,
Q447,item,百科全书，或科学、艺术和工艺详解词典,,,百科全書派,,,Encyclopédie,18世紀的法語百科全書,1751年至1772年间由法国一部分启蒙思想家编撰的一部法语百科全书,,,,"general encyclopedia published in Paris, France between 1751 and 1772","百科全书, 《百科全书》","Diderot's encyclopedia, Encyclopedie, Encyclopédie, ou dictionnaire raisonné des sciences, des arts et des métiers, D'Alembert's encyclopedia",https://zh.wikipedia.org/wiki/百科全书，或科学、艺术和工艺详解词典,,,https://en.wikipedia.org/wiki/Encyclopédie,,
Q463,item,罗讷-阿尔卑斯,罗纳-阿尔卑斯,罗讷-阿尔卑斯,隆-阿爾卑斯,隆河-阿爾卑斯,Рона-Альпі,Rhône-Alpes,法国旧大区,法国旧大区,法国旧大区,法國大區,,former administrative region of France,,Rhone-Alpes,https://zh.wikipedia.org/wiki/罗讷-阿尔卑斯,https://zh-yue.wikipedia.org/wiki/隆河-阿爾卑斯,https://kk.wikipedia.org/wiki/Рона-Альпі,https://en.wikipedia.org/wiki/Rhône-Alpes,,
Q497,item,肛门,肛门,,,屎窟竉,анус,anus,,动物消化系统和消化道的末端,,,,digestive track waste expulsion opening,,"arsehole, asshole, bung-hole, bunghole, butthole, bumhole, anal",https://zh.wikipedia.org/wiki/肛门,https://zh-yue.wikipedia.org/wiki/屎窟竉,https://kk.wikipedia.org/wiki/Анус,https://en.wikipedia.org/wiki/Anus,,
Q501,item,夏尔·波德莱尔,,,,波德萊爾,Шарль Пьер Бодлер,Charles Baudelaire,法国诗人（1821－1867）,法国诗人,,,,French poet and critic (1821–1867),"夏爾-比埃爾·波德萊爾, 夏尔-比埃尔·波德莱尔, 波德莱尔, 夏尔·皮埃尔·波德莱尔, 波德莱尔，C., 夏爾·波特萊爾","Baudelaire, Charles Pierre Baudelaire-Dufaÿs, Charles Pierre Baudelaire",https://zh.wikipedia.org/wiki/夏尔·波德莱尔,https://zh-yue.wikipedia.org/wiki/波德萊爾,https://kk.wikipedia.org/wiki/Шарль Пьер Бодлер,https://en.wikipedia.org/wiki/Charles Baudelaire,,
Q506,item,花,花,花,花,花,гүл,flower,被子植物的生殖器官,被子植物的繁殖器官,,,,sexual reproductive structure found on flowering plants,,"bloom, flowers, blossom (L58102), Flowers",https://zh.wikipedia.org/wiki/花,https://zh-yue.wikipedia.org/wiki/花,https://kk.wikipedia.org/wiki/Гүл,https://en.wikipedia.org/wiki/Flower,,
Q511,item,里昂美术馆,,,里昂美術館,,,Museum of Fine Arts of Lyon,,位于法国里昂的市立美术馆,,1801年成立的藝術博物館,,"art museum in Lyon, France",,"musée des Beaux-Arts de Lyon, musee des Beaux-Arts de Lyon",https://zh.wikipedia.org/wiki/里昂美术馆,,,https://en.wikipedia.org/wiki/Museum of Fine Arts of Lyon,,
Q514,item,解剖学,解剖学,解剖学,解剖學,解剖學,Анатомия,anatomy,,涉及生命体的结构和组织的生物学分支学科,,,,study of the structure and parts of organisms,,general anatomy,https://zh.wikipedia.org/wiki/解剖学,https://zh-yue.wikipedia.org/wiki/解剖學,https://kk.wikipedia.org/wiki/Анатомия,https://en.wikipedia.org/wiki/Anatomy,,
Q524,item,維蘇威火山,,,,維蘇威火山,Везувий,Mount Vesuvius,意大利活火山,位于意大利南部那不勒斯湾东海岸的活火山,,,,volcano on the southwestern coast of Italy,,Vesuvius,https://zh.wikipedia.org/wiki/維蘇威火山,https://zh-yue.wikipedia.org/wiki/維蘇威火山,https://kk.wikipedia.org/wiki/Везувий,https://en.wikipedia.org/wiki/Mount Vesuvius,,
Q544,item,太陽系,太阳系,太阳系,太陽系,太陽系,Күн жүйесі,Solar System,以太陽為中心，太陽和所有受到太陽的重力約束天體的集合體,以太阳为中心，太阳和所有受到太阳的重力约束天体的集合体,,以太陽為中心，太陽和所有受到太陽的重力約束天體的集合體,,"the Sun, its planets and their moons",太阳系,"solar system, planetary house, sun system",https://zh.wikipedia.org/wiki/太阳系,https://zh-yue.wikipedia.org/wiki/太陽系,https://kk.wikipedia.org/wiki/Күн жүйесі,https://en.wikipedia.org/wiki/Solar System,,
Q550,item,香榭丽舍大街,香榭丽舍大街,香榭丽舍大街,,香榭麗舍大道,Шанз-Элизе,avenue des Champs-Élysées,法国巴黎的大街,位于法国巴黎的一条大道,,,,"avenue in Paris, France","香榭, 香榭丽舍","Champs-Élysées, avenue des Champs-Elysees, Champs-Elysees",https://zh.wikipedia.org/wiki/香榭丽舍大街,https://zh-yue.wikipedia.org/wiki/香榭麗舍大道,https://kk.wikipedia.org/wiki/Шанз-Элизе,https://en.wikipedia.org/wiki/Champs-Élysées,,
Q556,item,氢,氢,氢,氫,氫,сутегі,hydrogen,原子序为1的化学元素,原子序数1的化学元素,原子序为1的化学元素,原子序為1的化學元素,,chemical element with symbol H and atomic number 1; lightest and most abundant substance in the universe,"H, 氫","H, element 1",https://zh.wikipedia.org/wiki/氢,https://zh-yue.wikipedia.org/wiki/氫,https://kk.wikipedia.org/wiki/Сутегі,https://en.wikipedia.org/wiki/Hydrogen,H,атомдық нөмірі 1 химиялық элемент
